producto_url,usuario,fecha,estrellas,comentario,fecha_extraccion,col1,col2,col3,col4,col5,col6,col7
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 6 meses,0,Muy buena calidad y precio,2025-07-29 02:24:26,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 6 meses,0,producto de buena calidad y con el color adecuado para el tono de piel,2025-07-29 02:24:26,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 9 meses,0,Excelente producto,2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,Tiene una excelente calidad y está igual al de la foto,2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,"El tamaño, la cantidad y la calidad. Todo excelente",2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,"El tamaño corresponde, es un excelente producto",2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,"El tamaño corresponde, idéntico a la foto y de buena calidad",2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,Es de buena calidad,2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,La piel se ve bonita natural ya no necesitas usar base,2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,"Excelente, tiene color y deja super suave la piel.",2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
https://www.falabella.com.pe/falabella-pe/product/113705771/Frezyderm-Velvet-Sunscreen-Color-Face-Spf50-50Ml/113705772,Anónimo,hace 1 año,0,Si corresponde a la foto,2025-07-29 02:24:27,FREZYDERM,Velvet Sunscreen Color Face Spf50 50Ml,Por Dermotienda Shopping,S/ 111.75,-25%,S/ 149,"Llega mañana
Retira mañana"
